id,imdb_id,popularity,title,cast,genres,tags
13576,tt1477715,0.405828,Michael Jackson's This Is It,"['michael jackson', 'orianthi', 'kenny ortega', 'dorian holley', 'patrick woodroffe']","['music', 'documentary']","['music', 'documentary', 'pop star', 'music', 'concert', 'aftercreditsstinger', 'duringcreditsstinger', 'michael jackson', 'orianthi', 'kenny ortega', 'dorian holley', 'patrick woodroffe']"
32868,tt1183921,0.371642,The Vicious Kind,"['adam scott', 'brittany snow', 'alex frost', 'j.k. simmons', 'vittorio brahm']","['comedy', 'drama']","['comedy', 'drama', 'love triangle', 'brother brother relationship', 'father-son relationship', 'prostitute', 'sex', 'adam scott', 'brittany snow', 'alex frost', 'j.k. simmons', 'vittorio brahm']"
36811,tt0824758,0.403188,The Last Station,"['james mcavoy', 'christopher plummer', 'helen mirren', 'paul giamatti', 'anne-marie duff']","['drama', 'romance']","['drama', 'romance', 'duringcreditsstinger', 'james mcavoy', 'christopher plummer', 'helen mirren', 'paul giamatti', 'anne-marie duff']"
52799,tt1368491,0.401697,Contracorriente,"['tatiana astengo', 'manolo cardona', 'cristian mercado']","['drama', 'romance', 'foreign']","['drama', 'romance', 'foreign', 'gay', 'fisherman', 'peru', 'gay romance', 'gay relationship', 'tatiana astengo', 'manolo cardona', 'cristian mercado']"
8284,tt1135092,0.398051,The Limits of Control,"['isaach de bankolã©', 'tilda swinton', 'bill murray', 'gael garcã\xada bernal', 'john hurt']","['crime', 'drama', 'thriller', 'mystery']","['crime', 'drama', 'thriller', 'mystery', 'independent film', 'isaach de bankolã©', 'tilda swinton', 'bill murray', 'gael garcã\xada bernal', 'john hurt']"
26035,tt1059925,0.397409,According to Greta,"['hilary duff', 'evan ross', 'ellen burstyn', 'michael murphy', 'tsianina joelson']","['drama', 'romance']","['drama', 'romance', 'suicide', 'grandparents', 'love', 'romance', 'summer', 'hilary duff', 'evan ross', 'ellen burstyn', 'michael murphy', 'tsianina joelson']"
32985,tt0970452,0.395616,Solomon Kane,"['james purefoy', 'pete postlethwaite', 'alice krige', 'mackenzie crook', 'max von sydow']","['adventure', 'fantasy', 'action', 'science fiction']","['adventure', 'fantasy', 'action', 'science fiction', 'mercenary', 'murder', 'stabbed to death', 'puritan', 'sorcerer', 'james purefoy', 'pete postlethwaite', 'alice krige', 'mackenzie crook', 'max von sydow']"
32678,tt1311699,0.475095,Dead Man Running,"['50 cent', 'tamer hassan', 'danny dyer', 'blake ritson', 'esmã© bianco']","['action', 'crime', 'drama', 'thriller']","['action', 'crime', 'drama', 'thriller', 'london', 'robbery', 'manchester city', 'violence', '50 cent', 'tamer hassan', 'danny dyer', 'blake ritson', 'esmã© bianco']"
29426,tt1134854,0.394989,Survival of the Dead,"['alan van sprang', 'kenneth welsh', 'kathleen munroe', 'devon bostick', 'richard fitzpatrick']","['horror', 'science fiction']","['horror', 'science fiction', 'zombies', 'alan van sprang', 'kenneth welsh', 'kathleen munroe', 'devon bostick', 'richard fitzpatrick']"
21724,tt1153706,0.394271,Dance Flick,"['shoshana bush', 'damon wayans jr.', 'essence atkins', 'chris elliott', 'david alan grier']","['action', 'comedy', 'music']","['action', 'comedy', 'music', 'rap', 'hip-hop', 'shoshana bush', 'damon wayans jr.', 'essence atkins', 'chris elliott', 'david alan grier']"
17577,tt1147687,0.393762,The Devil's Tomb,"['cuba gooding jr.', 'ray winstone', 'ron perlman', 'taryn manning', 'stephanie jacobsen']","['action', 'horror', 'thriller', 'science fiction']","['action', 'horror', 'thriller', 'science fiction', 'duct tape gag', 'bandana', 'headshot', 'camoflage uniform', 'sadistic laughter', 'cuba gooding jr.', 'ray winstone', 'ron perlman', 'taryn manning', 'stephanie jacobsen']"
23566,tt1484922,0.391867,Barbie and the Three Musketeers,"['kelly sheridan', 'tim curry', 'kira tozer', 'willow johnson', 'dorla bell']","['animation', 'family']","['animation', 'family', 'based on toy', 'kelly sheridan', 'tim curry', 'kira tozer', 'willow johnson', 'dorla bell']"
2080,tt0458525,0.391859,X-Men Origins: Wolverine,"['hugh jackman', 'liev schreiber', 'danny huston', 'lynn collins', 'ryan reynolds']","['adventure', 'action', 'thriller', 'science fiction']","['adventure', 'action', 'thriller', 'science fiction', 'corruption', 'mutant', 'boxer', 'army', 'marvel comic', 'hugh jackman', 'liev schreiber', 'danny huston', 'lynn collins', 'ryan reynolds']"
14141,tt0787470,0.389989,Balls Out: The Gary Houseman Story,"['randy quaid', 'seann william scott', 'leonor varela', 'allen evangelista', 'emilee wallace']",['comedy'],"['comedy', 'male nudity', 'tennis racket', 'tennis', 'underwear', 'owl', 'randy quaid', 'seann william scott', 'leonor varela', 'allen evangelista', 'emilee wallace']"
53985,tt1482967,0.388271,Mutant Pumpkins from Outer Space,"['seth rogen', 'reese witherspoon', 'hugh laurie', 'will arnett', 'kiefer sutherland']","['tv movie', 'animation', 'family', 'comedy']","['tv movie', 'animation', 'family', 'comedy', 'monster', 'mutant', 'alien', 'seth rogen', 'reese witherspoon', 'hugh laurie', 'will arnett', 'kiefer sutherland']"
33974,tt1038043,0.388227,Mammoth,"['gael garcã\xada bernal', 'michelle williams', 'marife necesito', 'sophie nyweide', 'tom mccarthy']","['drama', 'romance']","['drama', 'romance', 'mother', 'thailand', 'philippines', 'independent film', 'unfaithfulness', 'gael garcã\xada bernal', 'michelle williams', 'marife necesito', 'sophie nyweide', 'tom mccarthy']"
17532,tt1231277,0.388026,S. Darko,"['daveigh chase', 'elizabeth berkley', 'briana evigan', 'james lafferty', 'ed westwick']","['thriller', 'crime', 'science fiction', 'mystery']","['thriller', 'crime', 'science fiction', 'mystery', 'stranded', 'end of the world', 'shattered home', 'bizarre past', 'frightening visions', 'daveigh chase', 'elizabeth berkley', 'briana evigan', 'james lafferty', 'ed westwick']"
37178,tt1219836,0.381469,Virtuality,"['nikolaj coster-waldau', 'kerry bishã©', 'joy bryant', 'jose pablo cantillo', 'ritchie coster']","['drama', 'romance', 'science fiction', 'thriller']","['drama', 'romance', 'science fiction', 'thriller', 'virtual reality', 'space', 'nikolaj coster-waldau', 'kerry bishã©', 'joy bryant', 'jose pablo cantillo', 'ritchie coster']"
71866,tt1151410,0.378554,Tanner Hall,"['rooney mara', 'georgia king', 'brie larson', 'amy ferguson', 'antonia steinberg']",['drama'],"['drama', 'boarding school', 'woman director', 'rooney mara', 'georgia king', 'brie larson', 'amy ferguson', 'antonia steinberg']"
24804,tt1190536,0.378522,Black Dynamite,"['michael jai white', 'arsenio hall', 'tommy davidson', 'kevin chapman', 'richard edson']","['action', 'comedy']","['action', 'comedy', 'black people', 'blaxploitation', 'spoof', 'duringcreditsstinger', 'michael jai white', 'arsenio hall', 'tommy davidson', 'kevin chapman', 'richard edson']"
28053,tt1174730,0.376543,City Island,"['andy garcã\xada', 'julianna margulies', 'steven strait', 'dominik garcã\xada-lorido', 'ezra miller']","['drama', 'comedy']","['drama', 'comedy', 'secret', 'fetishism', 'stripper', 'family secrets', 'convict', 'andy garcã\xada', 'julianna margulies', 'steven strait', 'dominik garcã\xada-lorido', 'ezra miller']"
28118,tt1461418,0.376307,The Gruffalo,"['helena bonham carter', 'rob brydon', 'robbie coltrane', 'james corden', 'john hurt']","['animation', 'family']","['animation', 'family', 'snake', 'mouse', 'fox', 'owl', 'helena bonham carter', 'rob brydon', 'robbie coltrane', 'james corden', 'john hurt']"
